"alias","treatment_name","culture","starch_g_per_kg","tuber_FW_kg_per_plant","starch_yield_g_per_plant"
"EA172","control","72482",203.4118427485,1.152,234.601479584221
"EA172","drought stress","72247",181,0.349,62.3643333333333
"EA172","drought stress","72275",155.333333333333,0.431333333333333,66.8262666666667
"EA172","drought stress","72292",229.540666666667,0.149691666666667,34.2990761883333
"EA172","drought stress","72396",210.0284,0.5696,119.80360584
"EA172","drought stress","72482",170.5279080575,0.7675,130.691523849662
"EA173","control","72247",196.166666666667,1.167,227.368
"EA173","control","72275",194.666666666667,0.967466666666667,188.291333333333
"EA173","control","72292",199.923833333333,0.355128333333333,70.8108162236667
"EA173","control","72396",208.9831,0.966,202.60645776
"EA173","control","72482",185.108339473,1.145,212.296439597195
"EA173","drought stress","72247",193.833333333333,0.646333333333333,124.951
"EA173","drought stress","72275",140,0.2328,32.7688
"EA173","drought stress","72292",166.474233333333,0.236148333333333,39.2561497036667
"EA173","drought stress","72396",207.9378,0.443,92.24731696
"EA173","drought stress","72482",193.0185317605,0.8715,168.313691478522
"EA174","control","72247",206,1.60466666666667,329.477666666667
"EA174","control","72275",170.333333333333,0.783733333333333,133.6824
"EA174","control","72292",162.641466666667,0.357873333333333,57.893047316
"EA174","drought stress","72247",165.5,0.770666666666667,127.832
"EA174","drought stress","72275",150.666666666667,0.265466666666667,39.6837333333333
"EA174","drought stress","72292",133.024633333333,0.254908333333333,33.8084431876667
"EA19","control","72247",203.5,1.47066666666667,299
"EA19","control","72275",201,0.956,193.3632
"EA19","control","72292",186.683366666667,0.327776666666667,61.1069902503333
"EA19","control","72396",185.9865,0.8624,160.70960196
"EA19","control","72482",207.0794103025,1.462,302.568585116568
"EA19","drought stress","72247",193.166666666667,0.731333333333333,140.435
"EA19","drought stress","72275",167,0.337333333333333,56.7768
"EA19","drought stress","72292",159.854,0.20554,32.801596534
"EA19","drought stress","72396",197.4848,0.351,68.3617606
"EA19","drought stress","72482",185.746455133,1.093,202.931486598105
"EA2","control","72247",222.666666666667,1.12316666666667,250.203333333333
"EA2","control","72275",185.5,0.4752,88.0858
"EA2","control","72292",194.000466666667,0.303351666666667,58.7660881656667
"EA2","control","72396",196.4395,0.7354,143.5009776
"EA2","control","72482",170.362089139,0.746,127.541041730678
"EA2","drought stress","72247",194.333333333333,0.731333333333333,142.317666666667
"EA2","drought stress","72275",180,0.2156,38.7722666666667
"EA2","drought stress","72292",161.596166666667,0.214756666666667,34.5259916586667
"EA2","drought stress","72396",201.666,0.43,86.7121988
"EA2","drought stress","72482",177.2533248635,0.781,138.555458402141
"EA200","control","72247",245.333333333333,0.995333333333333,243.468333333333
"EA200","control","72275",209.666666666667,0.850666666666667,181.273333333333
"EA200","control","72292",208.9831,0.341891666666667,71.2712887696667
"EA200","control","72396",235.1156,0.964,226.6514384
"EA200","control","72482",199.692466263,0.887,177.144242804658
"EA200","drought stress","72247",224.611111111111,0.357333333333333,80.684
"EA200","drought stress","72275",177.333333333333,0.357466666666667,63.5809333333333
"EA200","drought stress","72292",220.829833333333,0.162948333333333,35.9474774326667
"EA200","drought stress","72396",235.1156,0.549,129.33435384
"EA200","drought stress","72482",206.07160838,0.947,195.237458240925
"EA208","control","72247",267.666666666667,0.796666666666667,213.269
"EA208","control","72275",210.333333333333,1.1952,251.388266666667
"EA208","control","72292",182.153733333333,0.346298333333333,62.9314802946667
"EA208","control","72396",231.9797,1.2102,280.87082296
"EA208","control","72482",187.7094875515,0.828,156.446591453367
"EA208","drought stress","72247",224.166666666667,0.298333333333333,67.088
"EA208","drought stress","72275",184,0.378666666666667,70.2970666666667
"EA208","drought stress","72292",180.76,0.177095,31.963901084
"EA208","drought stress","72396",231.9797,0.503,116.64753112
"EA208","drought stress","72482",185.7254162435,0.672,124.829505973515
"EA22","control","72247",252,1.048,263.947333333333
"EA22","control","72275",220,1.594,350.485333333333
"EA22","control","72292",203.059733333333,0.3857,78.262128481
"EA22","control","72396",222.572,1.3326,296.5994472
"EA22","control","72482",215.2351964045,1.654,355.666617503148
"EA22","drought stress","72247",191.666666666667,0.415,76.7086666666667
